,SE_NUMBER,TIME,BID_PRICE,PRICE,DATE
548,1,08:20,56.550,57.250,05-08-2021
549,1,08:30,56.550,57.250,06-08-2021
550,1,08:30,56.300,57.000,07-08-2021
551,,,,,08-08-2021
552,1,08:55,56.300,57.000,09-08-2021
553,1,08:40,56.250,56.950,10-08-2021
554,1,08:20,56.200,56.900,11-08-2021
555,1,08:50,56.400,57.100,12-08-2021
556,1,08:35,56.400,57.100,13-08-2021
557,1,08:30,56.550,57.250,14-08-2021
558,,,,,15-08-2021
559,,,,,16-08-2021
560,1,08:25,56.650,57.350,17-08-2021
561,,,,,18-08-2021
562,1,08:25,56.550,57.250,19-08-2021
563,1,08:45,56.450,57.150,20-08-2021
564,,,,,21-08-2021
565,,,,,22-08-2021
566,1,12:00,56.400,57.100,23-08-2021
567,1,08:25,56.500,57.200,24-08-2021
568,1,08:25,56.450,57.150,25-08-2021
569,1,08:30,56.350,57.050,26-08-2021
570,1,08:30,56.400,57.100,27-08-2021
571,1,08:55,56.450,57.150,28-08-2021
572,,,,,29-08-2021
573,1,08:35,56.600,57.300,30-08-2021
574,1,08:35,56.700,57.400,31-08-2021
575,,,,,01-09-2021
576,,,,,02-09-2021
577,1,08:35,56.650,57.350,03-09-2021
578,1,08:35,56.750,57.450,04-09-2021
579,,,,,05-09-2021
580,,,,,06-09-2021
581,,,,,07-09-2021
582,1,08:30,56.500,57.200,08-09-2021
583,1,08:30,56.550,57.250,09-09-2021
584,1,08:30,56.600,57.300,10-09-2021
585,1,08:40,56.600,57.300,11-09-2021
586,,,,,12-09-2021
587,,,,,13-09-2021
588,1,08:20,56.550,57.250,14-09-2021
589,1,08:40,56.650,57.350,15-09-2021
590,1,14:20,56.500,57.200,16-09-2021
591,1,08:50,55.900,56.600,17-09-2021
592,,,,,18-09-2021
593,,,,,19-09-2021
594,1,08:20,56.150,56.800,20-09-2021
595,1,08:15,56.450,57.100,21-09-2021
596,1,08:25,56.500,57.150,22-09-2021
597,1,08:25,56.700,57.350,23-09-2021
598,1,08:20,56.400,57.050,24-09-2021
599,1,08:30,56.350,57.000,25-09-2021
600,,,,,26-09-2021
601,1,08:35,56.350,57.000,27-09-2021
602,1,08:30,56.450,57.100,28-09-2021
603,1,08:25,56.350,56.950,29-09-2021
604,1,08:25,56.250,56.850,30-09-2021
605,1,08:35,56.600,57.200,01-10-2021
606,1,08:30,56.550,57.150,02-10-2021
607,,,,,03-10-2021
608,1,08:45,56.650,57.350,04-10-2021
609,1,09:20,56.750,57.450,05-10-2021
610,1,09:20,56.700,57.400,06-10-2021
611,1,09:25,56.800,57.500,07-10-2021
612,1,08:30,57.100,57.800,08-10-2021
613,1,08:30,57.100,57.800,09-10-2021
614,,,,,10-10-2021
615,1,08:35,57.250,57.950,11-10-2021
616,1,10:30,57.300,58.000,12-10-2021
617,1,08:40,57.400,58.100,13-10-2021
618,1,08:45,57.550,58.250,14-10-2021
619,1,08:45,57.300,58.000,15-10-2021
620,1,08:35,57.100,57.800,16-10-2021
621,,,,,17-10-2021
622,1,08:45,57.050,57.750,18-10-2021
623,1,08:55,57.150,57.850,19-10-2021
624,1,08:40,57.250,57.950,20-10-2021
625,1,08:40,57.550,58.250,21-10-2021
626,1,09:30,57.400,58.100,22-10-2021
627,1,08:35,57.550,58.250,23-10-2021
628,,,,,24-10-2021
629,1,09:05,57.550,58.250,25-10-2021
630,1,08:35,57.700,58.400,26-10-2021
631,1,08:35,57.850,58.550,27-10-2021
632,1,09:30,58.000,58.700,28-10-2021
633,1,08:55,57.750,58.450,29-10-2021
634,1,08:40,57.750,58.450,30-10-2021
635,,,,,31-10-2021
636,1,13:30,57.750,58.450,01-11-2021
637,1,08:40,57.650,58.350,02-11-2021
638,1,09:00,57.800,58.500,03-11-2021
639,1,08:35,57.800,58.500,04-11-2021
640,1,08:35,57.950,58.650,05-11-2021
641,1,08:40,58.100,58.800,06-11-2021
642,,,,,07-11-2021
643,1,08:35,58.200,58.900,08-11-2021
644,1,09:35,58.400,59.100,09-11-2021
645,1,08:40,58.700,59.400,10-11-2021
646,1,08:35,58.950,59.650,11-11-2021
647,1,08:35,59.500,60.200,12-11-2021
648,1,10:05,60.050,60.750,13-11-2021
649,,,,,14-11-2021
650,1,08:40,59.950,60.650,15-11-2021
651,1,09:05,60.250,60.950,16-11-2021
652,1,08:40,60.800,61.550,17-11-2021
653,1,08:35,61.300,62.050,18-11-2021
654,1,08:40,61.050,61.800,19-11-2021
655,1,08:45,59.400,60.500,20-11-2021
656,,,,,21-11-2021
657,1,08:20,59.500,60.200,22-11-2021
658,1,08:35,58.600,59.450,23-11-2021
659,1,08:50,59.150,59.950,24-11-2021
